iter	RMSE
0	0.3998817942
1	0.3959948311
2	0.3920230017
3	0.3882743613
4	0.3845543305
5	0.3806070513
6	0.3765869929
7	0.3728171432
8	0.3691528626
9	0.3655058632
10	0.3620257056
11	0.3587289183
12	0.3551863832
13	0.3518538873
14	0.3483817997
15	0.3449452263
16	0.3418522443
17	0.3387069737
18	0.3356408578
19	0.3325323406
20	0.3296516562
21	0.3266936618
22	0.3236891239
23	0.3208865011
24	0.3178943681
25	0.3150778496
26	0.3122434192
27	0.3096759348
28	0.3068694979
29	0.3039500105
30	0.3011934637
31	0.2984811187
32	0.2957265121
33	0.2930001242
34	0.2904361439
35	0.2879229663
36	0.2853474423
37	0.2830117257
38	0.2807310697
39	0.2784242128
40	0.2762047566
41	0.273730761
42	0.2715604441
43	0.2692227641
44	0.2670997518
45	0.2650215346
46	0.2628298719
47	0.2604894045
48	0.2584960817
49	0.2564474011
50	0.2544025655
51	0.2523807759
52	0.2504463061
53	0.248366873
54	0.2464849024
55	0.2445536973
56	0.2426633155
57	0.240905286
58	0.2390834859
59	0.237235844
60	0.2354341134
61	0.2336157348
62	0.2318553457
63	0.2301461236
64	0.2284804079
65	0.2268043991
66	0.2251645527
67	0.223507251
68	0.2219047932
69	0.2202386458
70	0.2188410466
71	0.217412464
72	0.2158719107
73	0.2143042264
74	0.2127278691
75	0.2113077551
76	0.2098818244
77	0.2083285506
78	0.2069307185
79	0.2054206002
80	0.204050175
81	0.2026374042
82	0.2012199931
83	0.1998471738
84	0.1985360513
85	0.1971922345
86	0.1959201187
87	0.1947325895
88	0.1935304383
89	0.1924757001
90	0.1912702207
91	0.1900690688
92	0.1888945907
93	0.1876795208
94	0.1865179762
95	0.1854057315
96	0.1842406839
97	0.1831086857
98	0.1820633385
99	0.1810177025
100	0.1798882105
101	0.1788194095
102	0.1777858109
103	0.1768426108
104	0.175948893
105	0.1749993501
106	0.1741716452
107	0.173172192
108	0.1723101406
109	0.171369324
110	0.1704569963
111	0.1695283302
112	0.1686991216
113	0.1678824619
114	0.1670139579
115	0.1661491705
116	0.1653400027
117	0.1645494277
118	0.163885088
119	0.1630477198
120	0.1622529614
121	0.1614566905
122	0.1607265636
123	0.1599576615
124	0.1590584489
125	0.1583426631
126	0.1575313591
127	0.1567369986
128	0.1560421861
129	0.1553378507
130	0.1545512731
131	0.153954491
132	0.1532262124
133	0.1526288027
134	0.1519859018
135	0.1513275904
136	0.150639368
137	0.1499698111
138	0.1492920187
139	0.1487059478
140	0.1479733298
141	0.1473501896
142	0.1467576498
143	0.14617785
144	0.1454807144
145	0.1449079648
146	0.1443309923
147	0.1437244221
148	0.1430956361
149	0.1425204481
150	0.1420133928
151	0.1414531035
152	0.1408893932
153	0.140379968
154	0.1398240122
155	0.1392307593
156	0.138648441
157	0.1381684108
158	0.137646519
159	0.1371560436
160	0.1367129642
161	0.1362325346
162	0.1358217205
163	0.1352897501
164	0.1348215787
165	0.1343330108
166	0.1339354706
167	0.1334847016
168	0.1331383544
169	0.1327169633
170	0.1322754219
171	0.1318943235
172	0.1314814078
173	0.1310790855
174	0.1306692232
175	0.1302984801
176	0.1299278982
177	0.1294970571
178	0.1290428726
179	0.1286722237
180	0.1283513935
181	0.128002686
182	0.127565428
183	0.1271636678
184	0.126750011
185	0.1263678441
186	0.1260192552
187	0.1257505809
188	0.1253978055
189	0.124999537
190	0.1246899294
191	0.1242652412
192	0.1239537481
193	0.1236385755
194	0.1232480098
195	0.1228877763
196	0.1225879578
197	0.1222685899
198	0.122035061
199	0.1217411119
200	0.1214537252
201	0.121124979
202	0.1208131668
203	0.120506577
204	0.1202075651
205	0.1199252912
206	0.1196045352
207	0.1193884659
208	0.1191165516
209	0.1187919028
210	0.1185272916
211	0.1182120519
212	0.117908834
213	0.1176744679
214	0.1173759287
215	0.1170772267
216	0.1167784973
