iter	Passed	Remaining
423	2079	2697
424	2083	2691
425	2088	2686
426	2093	2681
427	2097	2676
428	2102	2670
429	2107	2666
430	2111	2660
431	2116	2655
432	2135	2667
433	2140	2662
434	2145	2657
435	2150	2653
436	2156	2649
437	2161	2644
438	2166	2640
439	2182	2649
440	2189	2646
441	2209	2659
442	2214	2654
443	2219	2649
444	2224	2644
445	2228	2638
446	2234	2634
447	2240	2630
448	2245	2625
449	2252	2622
450	2259	2620
451	2265	2616
452	2272	2613
453	2277	2608
454	2284	2606
455	2290	2602
456	2296	2598
457	2304	2596
458	2310	2592
459	2319	2591
460	2325	2587
461	2333	2586
462	2339	2582
463	2348	2580
464	2377	2602
465	2397	2613
466	2415	2622
467	2431	2628
468	2446	2634
469	2463	2641
470	2471	2639
471	2480	2637
472	2487	2634
473	2504	2641
474	2512	2639
475	2518	2635
476	2525	2631
477	2531	2627
478	2538	2623
479	2544	2619
480	2550	2614
481	2556	2609
482	2562	2605
483	2568	2599
484	2573	2594
485	2578	2588
486	2583	2583
487	2592	2581
488	2604	2583
489	2610	2578
490	2615	2572
491	2622	2569
492	2628	2564
493	2634	2560
494	2639	2554
495	2644	2548
496	2650	2544
497	2656	2539
498	2662	2534
499	2668	2529
500	2673	2524
501	2678	2518
502	2684	2513
503	2689	2508
504	2698	2505
505	2703	2500
506	2708	2495
507	2714	2489
508	2720	2485
509	2727	2481
510	2734	2477
511	2740	2472
512	2746	2467
513	2751	2462
514	2756	2456
515	2761	2451
516	2767	2446
517	2772	2440
518	2778	2436
519	2784	2431
520	2791	2426
521	2798	2422
522	2805	2418
523	2811	2414
524	2816	2409
525	2821	2403
526	2831	2401
527	2838	2397
528	2847	2395
529	2853	2390
530	2859	2385
531	2865	2380
532	2871	2376
533	2877	2370
534	2883	2365
535	2889	2361
536	2894	2355
537	2900	2350
538	2906	2345
539	2913	2341
540	2919	2336
541	2924	2331
542	2930	2326
543	2936	2320
544	2941	2315
545	2947	2310
546	2953	2305
547	2961	2302
548	2968	2297
549	2973	2292
550	2979	2287
551	2984	2281
552	2990	2276
553	2994	2270
554	3000	2265
555	3005	2259
556	3010	2253
557	3015	2248
558	3020	2242
559	3024	2236
560	3030	2230
561	3035	2225
562	3040	2219
563	3046	2214
564	3051	2209
565	3056	2203
566	3062	2198
567	3067	2192
568	3077	2190
569	3085	2186
570	3094	2184
571	3099	2178
572	3105	2173
573	3112	2169
574	3119	2164
575	3126	2160
576	3131	2154
577	3137	2149
578	3143	2144
579	3150	2139
580	3155	2134
581	3160	2128
582	3166	2123
583	3172	2118
584	3178	2113
585	3183	2107
586	3189	2102
587	3193	2096
588	3198	2090
589	3204	2085
590	3209	2080
591	3215	2074
592	3222	2070
593	3228	2065
594	3233	2059
595	3239	2054
596	3245	2049
597	3249	2043
598	3255	2037
599	3260	2032
600	3265	2026
601	3271	2021
602	3277	2016
603	3282	2010
604	3287	2005
605	3293	2000
606	3300	1995
607	3304	1989
608	3310	1983
609	3316	1978
610	3321	1973
611	3326	1967
612	3331	1962
613	3336	1956
614	3341	1950
615	3346	1945
616	3352	1939
617	3359	1935
618	3364	1929
619	3370	1924
620	3375	1918
621	3381	1913
622	3386	1908
623	3391	1902
624	3397	1897
625	3403	1891
626	3409	1886
627	3414	1881
628	3420	1876
629	3427	1871
630	3433	1866
631	3439	1861
632	3445	1856
633	3450	1850
634	3456	1845
635	3462	1839
636	3467	1834
637	3473	1829
638	3479	1824
639	3490	1821
640	3496	1816
641	3501	1810
642	3507	1805
643	3513	1800
644	3518	1794
645	3523	1789
646	3528	1783
647	3533	1777
648	3539	1772
649	3544	1766
650	3549	1761
651	3554	1755
652	3559	1749
653	3564	1744
654	3570	1739
655	3576	1733
656	3581	1728
657	3586	1722
658	3593	1717
659	3599	1712
660	3604	1707
661	3610	1701
662	3615	1695
663	3621	1690
664	3628	1685
665	3634	1681
666	3640	1675
667	3646	1670
668	3651	1664
669	3655	1658
670	3660	1652
671	3665	1647
672	3671	1642
673	3677	1636
674	3682	1631
675	3694	1628
676	3700	1623
677	3706	1618
678	3712	1613
679	3720	1608
680	3728	1604
681	3735	1599
682	3744	1595
683	3753	1591
684	3763	1587
685	3770	1583
686	3776	1577
687	3784	1573
688	3795	1569
689	3801	1564
690	3807	1559
691	3813	1553
692	3819	1548
693	3824	1543
694	3831	1537
695	3836	1532
696	3841	1526
697	3847	1521
698	3853	1516
699	3859	1510
700	3865	1505
701	3872	1500
702	3878	1495
703	3887	1490
704	3893	1485
705	3905	1482
706	3914	1478
707	3926	1475
708	3938	1472
709	3947	1467
710	3954	1462
711	3963	1458
712	3971	1453
713	3977	1448
714	3983	1443
715	3990	1437
716	3996	1432
717	4004	1427
718	4011	1422
719	4017	1417
720	4024	1412
721	4038	1409
722	4046	1404
723	4054	1400
724	4063	1395
725	4083	1394
726	4099	1392
727	4119	1391
728	4142	1392
729	4161	1390
730	4172	1387
731	4179	1381
732	4188	1377
733	4197	1372
734	4205	1367
735	4214	1362
736	4225	1358
737	4251	1359
738	4267	1357
739	4276	1352
740	4290	1349
741	4297	1343
742	4304	1338
743	4310	1332
744	4317	1327
745	4344	1327
746	4358	1324
747	4372	1321
748	4386	1317
749	4402	1314
750	4415	1311
751	4423	1305
752	4431	1300
753	4440	1295
754	4449	1290
755	4456	1285
756	4463	1279
757	4472	1274
758	4480	1269
759	4487	1263
760	4497	1258
761	4508	1254
762	4517	1249
763	4523	1243
764	4530	1237
765	4536	1231
766	4542	1226
767	4548	1220
768	4555	1214
769	4561	1208
770	4567	1202
771	4575	1197
772	4581	1191
773	4589	1185
774	4594	1179
775	4600	1173
776	4608	1168
777	4613	1162
778	4619	1156
779	4624	1150
780	4630	1144
781	4635	1138
782	4640	1131
783	4645	1125
784	4649	1119
785	4655	1113
786	4660	1107
787	4665	1101
788	4670	1095
789	4675	1088
790	4679	1082
791	4685	1076
792	4690	1070
793	4695	1064
794	4700	1058
795	4705	1052
796	4711	1046
797	4716	1040
798	4721	1034
799	4726	1028
800	4735	1022
801	4741	1016
802	4750	1011
803	4756	1005
804	4763	1000
805	4771	994
806	4781	989
807	4787	983
808	4796	978
809	4804	972
810	4812	967
811	4819	961
812	4825	955
813	4832	949
814	4837	943
815	4843	937
816	4850	932
817	4856	926
818	4862	920
819	4869	914
820	4875	908
821	4881	902
822	4887	896
823	4893	890
824	4898	884
825	4904	878
826	4909	872
827	4914	866
828	4919	860
829	4925	854
830	4930	848
831	4934	842
832	4940	836
833	4945	830
834	4950	824
835	4956	818
836	4961	812
837	4969	806
838	4978	801
839	4986	795
840	4991	789
841	5005	784
842	5012	778
843	5018	772
844	5023	766
845	5029	760
846	5036	755
847	5043	749
848	5049	743
849	5055	737
850	5061	731
851	5067	725
852	5074	719
853	5080	713
854	5087	708
855	5092	702
856	5099	696
857	5109	690
858	5120	685
859	5125	679
860	5130	673
861	5137	667
862	5142	661
863	5147	655
864	5152	649
865	5157	643
866	5164	637
867	5169	631
868	5174	625
869	5180	619
870	5186	613
871	5193	607
872	5200	601
873	5206	595
874	5212	589
875	5218	583
876	5224	577
877	5230	571
878	5236	565
879	5252	561
880	5259	555
881	5267	549
882	5275	543
883	5281	537
884	5287	531
885	5293	525
886	5299	519
887	5308	514
888	5315	508
889	5321	502
890	5327	496
891	5333	490
892	5338	484
893	5344	478
894	5351	472
895	5357	466
896	5363	460
897	5370	454
898	5375	448
899	5381	442
900	5387	436
901	5393	430
902	5400	424
903	5406	418
904	5412	412
905	5417	406
906	5422	400
907	5428	394
908	5433	388
909	5438	382
910	5444	376
911	5449	370
912	5454	364
913	5461	358
914	5466	352
915	5470	346
916	5476	340
917	5484	334
918	5491	328
919	5497	322
920	5502	316
921	5509	310
922	5514	304
923	5521	298
924	5527	292
925	5532	286
926	5541	280
927	5549	275
928	5557	269
929	5567	263
930	5581	257
931	5588	251
932	5594	245
933	5601	239
934	5608	233
935	5614	227
936	5621	221
937	5627	215
938	5632	209
939	5638	203
940	5643	197
941	5648	191
942	5654	185
943	5659	179
944	5665	173
945	5673	167
946	5678	161
947	5685	155
948	5691	149
949	5696	143
950	5702	137
951	5707	131
952	5712	125
953	5717	119
954	5722	113
955	5727	107
956	5733	101
957	5738	95
958	5743	89
959	5748	83
960	5754	77
961	5759	71
962	5764	65
963	5769	59
964	5774	53
965	5780	47
966	5786	41
967	5791	35
968	5796	29
969	5803	23
970	5809	17
971	5814	11
972	5819	5
973	5825	0
